schema_version,experiment_id,config_id,session_id,lifecycle,ratio_mode,status,error_class,return_code,engine,scale_factor,dataset_path,region,date,threads,cpu_ratio,gpu_ratio,gpu_chunk_rows,memory_scope,mode_options_json,dataset_load_ms,session_setup_ms,plan_build_ms,host_staging_ms,allocation_ms,initial_h2d_ms,tune_ms,resident_host_bytes,resident_gpu_bytes,resident_pinned_bytes,measurement_status_json,selected_cpu_ratio,predicted_cpu_ratio,hybrid_provenance_status,hybrid_model_version,calibration_rows,cpu_calibration_requests,gpu_calibration_requests,cpu_calibration_ms,gpu_calibration_ms,gpu_kernel_calibration_ms,gpu_fixed_ms,cpu_rows_per_ms,gpu_kernel_rows_per_ms,realized_cpu_ratio,selected_batch_boundary_rows,process_elapsed_ms,cpu_peak_rss_bytes,gpu_peak_memory_bytes,cpu_peak_rss_status,gpu_peak_memory_status,gpu_peak_memory_source,stdout_log,stderr_log,started_at_utc,finished_at_utc
2,v7-formal-sf1-resident,cpu-specialized-t08,e887864a-6c86-4c00-a498-7c4967d22032,resident,fixed,ok,,0,cpu-specialized,1,data/tpch_sf1_arrow,ASIA,1994-01-01,8,1.0,0.0,0,process_tree,"{""sweep"":""threads""}",296.091287,61.887038,61.770786,0.0,0.0,0.0,0.0,264088793,0,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",1.0,,unavailable,,,,,,,,,,,,,519.5507630705833,331653120,,measured,unavailable,,logs/cpu-specialized-t08.stdout.jsonl,logs/cpu-specialized-t08.stderr.txt,2026-07-14T06:55:03.904092Z,2026-07-14T06:55:04.423670Z
2,v7-formal-sf1-resident,cpu-specialized-t16,ed28287c-66d6-49bd-99be-c5bf1967fb29,resident,fixed,ok,,0,cpu-specialized,1,data/tpch_sf1_arrow,ASIA,1994-01-01,16,1.0,0.0,0,process_tree,"{""sweep"":""threads""}",297.171057,61.268943,61.135495,0.0,0.0,0.0,0.0,264088793,0,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",1.0,,unavailable,,,,,,,,,,,,,567.1475478447974,340070400,,measured,unavailable,,logs/cpu-specialized-t16.stdout.jsonl,logs/cpu-specialized-t16.stderr.txt,2026-07-14T06:55:04.426627Z,2026-07-14T06:55:04.993787Z
2,v7-formal-sf1-resident,cpu-specialized-t32,7550aa85-e90d-44ef-a492-b066c4506c73,resident,fixed,ok,,0,cpu-specialized,1,data/tpch_sf1_arrow,ASIA,1994-01-01,32,1.0,0.0,0,process_tree,"{""sweep"":""threads""}",297.591434,63.772432,63.643961,0.0,0.0,0.0,0.0,264088793,0,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",1.0,,unavailable,,,,,,,,,,,,,575.3142200410366,340123648,,measured,unavailable,,logs/cpu-specialized-t32.stdout.jsonl,logs/cpu-specialized-t32.stderr.txt,2026-07-14T06:55:04.996651Z,2026-07-14T06:55:05.571976Z
2,v7-formal-sf1-resident,arrow-acero-t08,4aaf3006-065e-4b15-a1d5-9be36fe0122a,resident,fixed,ok,,0,arrow-acero,1,data/tpch_sf1_arrow,ASIA,1994-01-01,8,1.0,0.0,0,process_tree,"{""sweep"":""threads""}",297.054498,0.015883,0.0,0.0,0.0,0.0,0.0,259329279,0,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",1.0,,unavailable,,,,,,,,,,,,,4659.203059971333,636538880,,measured,unavailable,,logs/arrow-acero-t08.stdout.jsonl,logs/arrow-acero-t08.stderr.txt,2026-07-14T06:55:05.574754Z,2026-07-14T06:55:10.233977Z
2,v7-formal-sf1-resident,arrow-acero-t16,ad5b82e0-530b-418c-b268-4bce374bbdb3,resident,fixed,ok,,0,arrow-acero,1,data/tpch_sf1_arrow,ASIA,1994-01-01,16,1.0,0.0,0,process_tree,"{""sweep"":""threads""}",286.452343,0.01375,0.0,0.0,0.0,0.0,0.0,259329279,0,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",1.0,,unavailable,,,,,,,,,,,,,4660.486905835569,630243328,,measured,unavailable,,logs/arrow-acero-t16.stdout.jsonl,logs/arrow-acero-t16.stderr.txt,2026-07-14T06:55:10.237186Z,2026-07-14T06:55:14.897683Z
2,v7-formal-sf1-resident,arrow-acero-t32,6f5389df-b98e-47c4-806c-096ab63f2cbb,resident,fixed,ok,,0,arrow-acero,1,data/tpch_sf1_arrow,ASIA,1994-01-01,32,1.0,0.0,0,process_tree,"{""sweep"":""threads""}",284.259542,0.015984,0.0,0.0,0.0,0.0,0.0,259329279,0,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",1.0,,unavailable,,,,,,,,,,,,,4533.040069043636,677875712,,measured,unavailable,,logs/arrow-acero-t32.stdout.jsonl,logs/arrow-acero-t32.stderr.txt,2026-07-14T06:55:14.900400Z,2026-07-14T06:55:19.433450Z
2,v7-formal-sf1-resident,gpu-copy,2e298c5a-d2cb-493a-a749-71f784f92e22,resident,fixed,ok,,0,gpu-copy,1,data/tpch_sf1_arrow,ASIA,1994-01-01,1,0.0,1.0,0,process_tree,"{""memory_mode"":""copy""}",278.348601,298.245945,61.566795,122.887436,106.482357,7.119872093200684,0.0,144064697,144064520,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",0.0,,unavailable,,,,,,,,,,,,,882.5014093890786,466472960,,measured,unavailable,,logs/gpu-copy.stdout.jsonl,logs/gpu-copy.stderr.txt,2026-07-14T06:55:19.436123Z,2026-07-14T06:55:20.318633Z
2,v7-formal-sf1-resident,gpu-managed,dd6fc08d-b728-4eb9-9d2c-0031f96eda09,resident,fixed,ok,,0,gpu-managed,1,data/tpch_sf1_arrow,ASIA,1994-01-01,1,0.0,1.0,0,process_tree,"{""memory_mode"":""managed""}",287.616903,327.055302,58.417751,157.480639,104.927274,6.024191856384277,0.0,144064697,144064520,0,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",0.0,,unavailable,,,,,,,,,,,,,882.7809728682041,544968704,,measured,unavailable,,logs/gpu-managed.stdout.jsonl,logs/gpu-managed.stderr.txt,2026-07-14T06:55:20.321422Z,2026-07-14T06:55:21.204211Z
2,v7-formal-sf1-resident,gpu-mapped,0534fad5-427f-4756-8762-f033e9a4d457,resident,fixed,ok,,0,gpu-mapped,1,data/tpch_sf1_arrow,ASIA,1994-01-01,1,0.0,1.0,0,process_tree,"{""memory_mode"":""mapped""}",279.826957,378.731561,59.480436,127.684565,191.426453,0.0,0.0,144064697,212,144064308,"{""allocation_ms"":""measured"",""dataset_load_ms"":""measured"",""host_staging_ms"":""measured"",""initial_h2d_ms"":""measured"",""plan_build_ms"":""measured"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",0.0,,unavailable,,,,,,,,,,,,,1257.3217693716288,691060736,,measured,unavailable,,logs/gpu-mapped.stdout.jsonl,logs/gpu-mapped.stderr.txt,2026-07-14T06:55:21.206903Z,2026-07-14T06:55:22.464234Z
2,v7-formal-sf1-resident,cudf,7afc2d3e-186d-416f-99ab-447559165d92,resident,fixed,ok,,0,cudf,1,data/tpch_sf1_arrow,ASIA,1994-01-01,1,0.0,1.0,0,process_tree,"{""framework"":""cudf""}",875.3235880285501,263.8863269239664,,,,,0.0,0,145304859,0,"{""allocation_ms"":""unavailable"",""dataset_load_ms"":""measured"",""host_staging_ms"":""unavailable"",""initial_h2d_ms"":""unavailable"",""plan_build_ms"":""unavailable"",""resident_gpu_bytes"":""measured"",""resident_host_bytes"":""measured"",""resident_pinned_bytes"":""measured"",""session_setup_ms"":""measured"",""tune_ms"":""measured""}",0.0,,unavailable,,,,,,,,,,,,,3700.0076761469245,1260331008,,measured,unavailable,,logs/cudf.stdout.jsonl,logs/cudf.stderr.txt,2026-07-14T06:55:22.466970Z,2026-07-14T06:55:26.166986Z
