experiment_id,scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,lifecycle,success_count,failure_count,result_hash,query_total_ms_median,query_total_ms_mean,query_total_ms_min,query_total_ms_max,query_total_ms_pstdev,query_total_ms_p25,query_total_ms_p75,query_total_ms_p95,dataset_load_ms,session_setup_ms,tune_ms,setup_cost_ms,resident_host_bytes,resident_gpu_bytes,resident_pinned_bytes,resident_total_bytes,amortized_1_request_ms,amortized_10_requests_ms,amortized_100_requests_ms
v7-formal-sf1-resident,1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,resident,10,0,542abf4003633c7c,323.484541,322.64541529999997,311.42125,336.807031,8.36964779839989,314.7903645,328.73246274999997,334.231762,297.054498,0.015883,0.0,297.070381,259329279,0,0,259329279,620.554922,353.19157909999996,326.45524480999995
v7-formal-sf1-resident,1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,resident,10,0,542abf4003633c7c,320.36884150000003,322.6602472,296.258414,366.390417,20.19433771861348,306.823585,331.3839825,357.0797037,286.452343,0.01375,0.0,286.466093,259329279,0,0,259329279,606.8349345,349.01545080000005,323.23350243000004
v7-formal-sf1-resident,1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,resident,10,0,542abf4003633c7c,311.4613535,315.13871359999996,296.226522,343.482433,15.968541054298838,300.7623115,326.52481875,340.1682253,284.259542,0.015984,0.0,284.275526,259329279,0,0,259329279,595.7368795,339.8889061,314.30410875999996
v7-formal-sf1-resident,1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,resident,10,0,542abf4003633c7c,4.783445,4.8120612000000005,4.603198,4.976521,0.111611566722092,4.7502275,4.89945175,4.97621455,296.091287,61.887038,0.0,357.97832500000004,264088793,0,0,264088793,362.76177000000007,40.581277500000006,8.36322825
v7-formal-sf1-resident,1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,resident,10,0,542abf4003633c7c,3.2006105,3.290822,3.111258,4.024932,0.252560391212874,3.1867747499999997,3.2267662500000003,3.7313578499999993,297.171057,61.268943,0.0,358.44,264088793,0,0,264088793,361.6406105,39.044610500000005,6.7850105
v7-formal-sf1-resident,1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,resident,10,0,542abf4003633c7c,3.338079,3.329892,3.185168,3.421027,0.06498686215536185,3.29303725,3.37837125,3.4089490000000002,297.591434,63.772432,0.0,361.363866,264088793,0,0,264088793,364.70194499999997,39.474465599999995,6.95171766
v7-formal-sf1-resident,1,cudf,cudf,1,fixed,0.0,1.0,resident,10,0,542abf4003633c7c,12.772795977070928,13.445798447355628,12.713472824543715,18.692619167268276,1.7718091800535192,12.738847872242332,12.795771472156048,16.44838491920381,875.3235880285501,263.8863269239664,0.0,1139.2099149525166,0,145304859,0,145304859,1151.9827109295875,126.69378747232258,24.164895126596093
v7-formal-sf1-resident,1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,resident,10,0,542abf4003633c7c,1.2670015000000001,1.2650849000000002,1.252795,1.2753,0.0071546250279102865,1.2610455,1.2704520000000001,1.2732354000000001,278.348601,298.245945,0.0,576.594546,144064697,144064520,0,288129217,577.8615475,58.9264561,7.03294696
v7-formal-sf1-resident,1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,resident,10,0,542abf4003633c7c,1.440088,1.4391448,1.432111,1.449417,0.005252599638274362,1.434122,1.441951,1.446186,287.616903,327.055302,0.0,614.672205,144064697,144064520,0,288129217,616.1122929999999,62.9073085,7.5868100499999995
v7-formal-sf1-resident,1,gpu-mapped,gpu-mapped,1,fixed,0.0,1.0,resident,10,0,542abf4003633c7c,22.971462000000002,23.0122655,22.916065,23.214827,0.09624396837646489,22.93529375,23.07508575,23.1764888,279.826957,378.731561,0.0,658.558518,144064697,212,144064308,288129217,681.52998,88.82731380000001,29.557047180000005
