algo,variant,r_exp,r_size,s_size,payload_width,radix_bits,threads,repeats,ok_runs,status,throughput_mtps,time_ms,vector_total_bytes,extra_space_ratio,raw_csv
NPO,NPO,5,32,16777216,,,16,1,1,OK,1673.537756,10.025,525192,0.00391298,report-current-s2e24.raw.csv
PRO,PRO,5,32,16777216,,18,16,1,1,OK,426.933761,39.297,,,report-current-s2e24.raw.csv
sort-merge,sort-merge,5,32,16777216,,,16,1,1,OK,11.609783,1445.093,134218120,1.00000101,report-current-s2e24.raw.csv
VJ,VJ_pw1,5,32,16777216,1,,16,1,1,OK,4025.243762,4.168,66,0.00000049,report-current-s2e24.raw.csv
VJ,VJ_pw2,5,32,16777216,2,,16,1,1,OK,851.548878,19.702,99,0.00000074,report-current-s2e24.raw.csv
VJ,VJ_pw4,5,32,16777216,4,,16,1,1,OK,4750.061155,3.532,165,0.00000123,report-current-s2e24.raw.csv
NPO,NPO,10,1024,16777216,,,16,1,1,OK,1631.548770,10.283,541064,0.00403099,report-current-s2e24.raw.csv
PRO,PRO,10,1024,16777216,,18,16,1,1,OK,565.136794,29.687,,,report-current-s2e24.raw.csv
sort-merge,sort-merge,10,1024,16777216,,,16,1,1,OK,9.735692,1723.269,134226056,1.00000101,report-current-s2e24.raw.csv
VJ,VJ_pw1,10,1024,16777216,1,,16,1,1,OK,926.303887,18.112,2050,0.00001527,report-current-s2e24.raw.csv
VJ,VJ_pw2,10,1024,16777216,2,,16,1,1,OK,3633.004764,4.618,3075,0.00002291,report-current-s2e24.raw.csv
VJ,VJ_pw4,10,1024,16777216,4,,16,1,1,OK,2156.731714,7.779,5125,0.00003818,report-current-s2e24.raw.csv
NPO,NPO,15,32768,16777216,,,16,1,1,OK,1810.035171,9.269,1048968,0.00780019,report-current-s2e24.raw.csv
PRO,PRO,15,32768,16777216,,18,16,1,1,OK,348.740667,48.108,,,report-current-s2e24.raw.csv
sort-merge,sort-merge,15,32768,16777216,,,16,1,1,OK,8.138630,2061.430,134480008,1.00000101,report-current-s2e24.raw.csv
VJ,VJ_pw1,15,32768,16777216,1,,16,1,1,OK,2482.571175,6.758,65538,0.00048734,report-current-s2e24.raw.csv
VJ,VJ_pw2,15,32768,16777216,2,,16,1,1,OK,1160.169836,14.461,98307,0.00073102,report-current-s2e24.raw.csv
VJ,VJ_pw4,15,32768,16777216,4,,16,1,1,OK,4418.545167,3.797,163845,0.00121836,report-current-s2e24.raw.csv
NPO,NPO,20,1048576,16777216,,,16,1,1,OK,564.832374,29.703,17301896,0.12132628,report-current-s2e24.raw.csv
PRO,PRO,20,1048576,16777216,,18,16,1,1,OK,194.466589,86.273,,,report-current-s2e24.raw.csv
sort-merge,sort-merge,20,1048576,16777216,,,16,1,1,OK,7.067278,2373.929,142606472,1.00000095,report-current-s2e24.raw.csv
VJ,VJ_pw1,20,1048576,16777216,1,,16,1,1,OK,647.294109,25.919,2097154,0.01470590,report-current-s2e24.raw.csv
VJ,VJ_pw2,20,1048576,16777216,2,,16,1,1,OK,689.937739,24.317,3145731,0.02205884,report-current-s2e24.raw.csv
VJ,VJ_pw4,20,1048576,16777216,4,,16,1,1,OK,596.926493,28.106,5242885,0.03676474,report-current-s2e24.raw.csv
NPO,NPO,24,16777216,16777216,,,16,1,1,OK,60.424032,277.658,268960136,1.00195459,report-current-s2e24.raw.csv
PRO,PRO,24,16777216,16777216,,18,16,1,1,OK,139.891737,119.930,,,report-current-s2e24.raw.csv
sort-merge,sort-merge,24,16777216,16777216,,,16,1,1,OK,3.567605,4702.655,268435592,1.00000051,report-current-s2e24.raw.csv
VJ,VJ_pw1,24,16777216,16777216,1,,16,1,1,OK,39.337335,426.496,33554434,0.12500001,report-current-s2e24.raw.csv
VJ,VJ_pw2,24,16777216,16777216,2,,16,1,1,OK,31.814256,527.349,50331651,0.18750001,report-current-s2e24.raw.csv
VJ,VJ_pw4,24,16777216,16777216,4,,16,1,1,OK,27.799308,603.512,83886085,0.31250002,report-current-s2e24.raw.csv
PRVJ,PRVJ_best,5,32,16777216,4,18,16,1,1,OK,507.094333,33.085,160,0.00000119,report-current-s2e24.raw.csv
PRVJ,PRVJ_best,10,1024,16777216,4,18,16,1,1,OK,532.305857,31.518,5120,0.00003814,report-current-s2e24.raw.csv
PRVJ,PRVJ_best,15,32768,16777216,4,18,16,1,1,OK,307.263763,54.602,163840,0.00121832,report-current-s2e24.raw.csv
PRVJ,PRVJ_best,20,1048576,16777216,4,18,16,1,1,OK,91.301099,183.757,5242885,0.03676474,report-current-s2e24.raw.csv
PRVJ,PRVJ_best,24,16777216,16777216,4,18,16,1,1,OK,78.080774,214.870,83886085,0.31250002,report-current-s2e24.raw.csv
