algo,variant,r_exp,r_size,s_size,payload_width,radix_bits,threads,repeats,ok_runs,status,throughput_mtps,time_ms,vector_total_bytes,extra_space_ratio,raw_csv
NPO,NPO,5,32,1073741824,,,32,1,1,OK,6686.064386,160.594,1049736,0.00012221,final-full-main-s2e30-r5-t32.raw.csv
PRO,PRO,5,32,1073741824,,18,32,1,1,OK,1266.163174,848.028,,,final-full-main-s2e30-r5-t32.raw.csv
VJ,VJ_pw1,5,32,1073741824,1,,32,1,1,OK,6944.256831,154.623,64,0.00000001,final-full-main-s2e30-r5-t32.raw.csv
VJ,VJ_pw2,5,32,1073741824,2,,32,1,1,OK,5351.317339,200.650,96,0.00000001,final-full-main-s2e30-r5-t32.raw.csv
VJ,VJ_pw4,5,32,1073741824,4,,32,1,1,OK,7605.427246,141.181,160,0.00000002,final-full-main-s2e30-r5-t32.raw.csv
PRVJ,PRVJ_best,5,32,1073741824,4,18,32,1,1,OK,1165.401844,921.349,155,0.00000002,final-full-main-s2e30-r5-t32.raw.csv
NPO,NPO,6,64,1073741824,,,64,1,1,OK,9665.947914,111.085,2099336,0.00024439,final-full-main-s2e30.raw.csv
PRO,PRO,6,64,1073741824,,18,64,1,1,OK,1007.717201,1065.519,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,6,64,1073741824,1,,64,1,1,OK,5014.040934,214.147,128,0.00000001,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,6,64,1073741824,2,,64,1,1,OK,7458.197822,143.968,192,0.00000002,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,6,64,1073741824,4,,64,1,1,OK,8494.927325,126.398,320,0.00000004,final-full-main-s2e30.raw.csv
NPO,NPO,7,128,1073741824,,,64,1,1,OK,9435.838656,113.794,2100360,0.00024451,final-full-main-s2e30.raw.csv
PRO,PRO,7,128,1073741824,,18,64,1,1,OK,1048.564736,1024.011,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,7,128,1073741824,1,,64,1,1,OK,7278.865363,147.515,258,0.00000003,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,7,128,1073741824,2,,64,1,1,OK,8464.057134,126.859,387,0.00000005,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,7,128,1073741824,4,,64,1,1,OK,9836.313555,109.161,645,0.00000008,final-full-main-s2e30.raw.csv
NPO,NPO,8,256,1073741824,,,64,1,1,OK,10240.156252,104.856,2102408,0.00024475,final-full-main-s2e30.raw.csv
