algo,variant,r_exp,r_size,s_size,payload_width,radix_bits,threads,repeat,status,throughput_mtps,time_ms,vector_total_bytes,extra_space_ratio,stdout_log,stderr_log,error
sort-merge,sort-merge,5,32,1073741824,,,32,1,OK,9.236553,116249.191,8589934984,1.00000002,"final-sortmerge-s2e30-r5-t32.logs/sort-merge_R2e5_rep1.stdout","final-sortmerge-s2e30-r5-t32.logs/sort-merge_R2e5_rep1.stderr",""
sort-merge,sort-merge,6,64,1073741824,,,64,1,OK,8.932268,120209.313,8589935240,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e6_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e6_rep1.stderr",""
sort-merge,sort-merge,7,128,1073741824,,,64,1,OK,8.672289,123812.967,8589935752,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e7_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e7_rep1.stderr",""
sort-merge,sort-merge,8,256,1073741824,,,64,1,OK,8.410466,127667.334,8589936776,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e8_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e8_rep1.stderr",""
sort-merge,sort-merge,9,512,1073741824,,,64,1,OK,8.139037,131924.920,8589938824,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e9_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e9_rep1.stderr",""
sort-merge,sort-merge,10,1024,1073741824,,,64,1,OK,7.980950,134538.096,8589942920,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e10_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e10_rep1.stderr",""
sort-merge,sort-merge,11,2048,1073741824,,,64,1,OK,7.762835,138318.261,8589951112,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e11_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e11_rep1.stderr",""
sort-merge,sort-merge,12,4096,1073741824,,,64,1,OK,7.612597,141048.040,8589967496,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e12_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e12_rep1.stderr",""
sort-merge,sort-merge,13,8192,1073741824,,,64,1,OK,7.421123,144687.252,8590000264,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e13_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e13_rep1.stderr",""
sort-merge,sort-merge,14,16384,1073741824,,,64,1,OK,7.296824,147151.949,8590065800,1.00000002,"final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e14_rep1.stdout","final-sortmerge-s2e30-r6-r30.logs/sort-merge_R2e14_rep1.stderr",""
