mode,sf,nthreads,payload_width,prefetch_distance,basic_numa,status,time_ms,matches,aggregate_sum,input_bytes,aux_bytes,total_bytes,stdout_log,stderr_log,error
npo,1,1,1,0,0,OK,231.897,6000000,18000000,66400000,75497472,141897472,"report-starjoin-sf1.logs/npo_sf1_t1_pf0.stdout","report-starjoin-sf1.logs/npo_sf1_t1_pf0.stderr",""
pro,1,1,1,0,0,OK,286.582,6000000,18000000,66400000,123497472,189897472,"report-starjoin-sf1.logs/pro_sf1_t1_pf0.stdout","report-starjoin-sf1.logs/pro_sf1_t1_pf0.stderr",""
vj,1,1,1,0,0,OK,76.335,6000000,18000000,66400000,4600004,71000004,"report-starjoin-sf1.logs/vj_sf1_t1_pf0.stdout","report-starjoin-sf1.logs/vj_sf1_t1_pf0.stderr",""
npo,1,2,1,0,0,OK,183.803,6000000,18000000,66400000,75497472,141897472,"report-starjoin-sf1.logs/npo_sf1_t2_pf0.stdout","report-starjoin-sf1.logs/npo_sf1_t2_pf0.stderr",""
pro,1,2,1,0,0,OK,228.757,6000000,18000000,66400000,123497472,189897472,"report-starjoin-sf1.logs/pro_sf1_t2_pf0.stdout","report-starjoin-sf1.logs/pro_sf1_t2_pf0.stderr",""
vj,1,2,1,0,0,OK,56.920,6000000,18000000,66400000,4600004,71000004,"report-starjoin-sf1.logs/vj_sf1_t2_pf0.stdout","report-starjoin-sf1.logs/vj_sf1_t2_pf0.stderr",""
npo,1,4,1,0,0,OK,159.568,6000000,18000000,66400000,75497472,141897472,"report-starjoin-sf1.logs/npo_sf1_t4_pf0.stdout","report-starjoin-sf1.logs/npo_sf1_t4_pf0.stderr",""
pro,1,4,1,0,0,OK,214.519,6000000,18000000,66400000,123497472,189897472,"report-starjoin-sf1.logs/pro_sf1_t4_pf0.stdout","report-starjoin-sf1.logs/pro_sf1_t4_pf0.stderr",""
vj,1,4,1,0,0,OK,38.480,6000000,18000000,66400000,4600004,71000004,"report-starjoin-sf1.logs/vj_sf1_t4_pf0.stdout","report-starjoin-sf1.logs/vj_sf1_t4_pf0.stderr",""
npo,1,8,1,0,0,OK,120.312,6000000,18000000,66400000,75497472,141897472,"report-starjoin-sf1.logs/npo_sf1_t8_pf0.stdout","report-starjoin-sf1.logs/npo_sf1_t8_pf0.stderr",""
pro,1,8,1,0,0,OK,147.550,6000000,18000000,66400000,123497472,189897472,"report-starjoin-sf1.logs/pro_sf1_t8_pf0.stdout","report-starjoin-sf1.logs/pro_sf1_t8_pf0.stderr",""
vj,1,8,1,0,0,OK,27.667,6000000,18000000,66400000,4600004,71000004,"report-starjoin-sf1.logs/vj_sf1_t8_pf0.stdout","report-starjoin-sf1.logs/vj_sf1_t8_pf0.stderr",""
npo,1,16,1,0,0,OK,106.635,6000000,18000000,66400000,75497472,141897472,"report-starjoin-sf1.logs/npo_sf1_t16_pf0.stdout","report-starjoin-sf1.logs/npo_sf1_t16_pf0.stderr",""
pro,1,16,1,0,0,OK,123.564,6000000,18000000,66400000,123497472,189897472,"report-starjoin-sf1.logs/pro_sf1_t16_pf0.stdout","report-starjoin-sf1.logs/pro_sf1_t16_pf0.stderr",""
vj,1,16,1,0,0,OK,19.465,6000000,18000000,66400000,4600004,71000004,"report-starjoin-sf1.logs/vj_sf1_t16_pf0.stdout","report-starjoin-sf1.logs/vj_sf1_t16_pf0.stderr",""
