scale_factor,engine,cpu_ratio,gpu_ratio,nsys_kernel_time_ns,ncu_kernel_duration_ns,dram_read_bytes,dram_throughput_pct,sm_throughput_pct,achieved_occupancy_pct
1,copy,0.0,1.0,1208067,1308640.0,54495232.0,4.38,3.13,38.62
1,managed,0.0,1.0,1639621,1699712.0,54461696.0,3.38,2.37,54.6
1,mapped,0.0,1.0,2531336,2521152.0,287232.0,0.01,0.57,62.57
1,hybrid-fixed,0.5,0.5,439585,425120.0,27267328.0,6.52,3.09,39.81
1,hybrid-auto,0.2184091054894717,0.7815908945105283,846787,750464.0,37843456.0,5.13,3.16,38.9
10,copy,0.0,1.0,15343115,16716000.0,544954880.0,3.33,3.06,39.77
10,managed,0.0,1.0,15586806,16925248.0,544933120.0,3.29,3.06,40.49
10,mapped,0.0,1.0,135247042,129811200.0,2890112.0,0.0,0.25,78.06
10,hybrid-fixed,0.5,0.5,7425986,8160416.0,272848128.0,3.44,3.06,39.73
10,hybrid-auto,0.31901602725913686,0.6809839727408631,10584240,9688480.0,314006016.0,3.33,3.07,40.35
