scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,request_index,status,result_hash,query_total_ms,cpu_scan_ms,gpu_kernel_ms,h2d_ms,d2h_ms,overlap_wall_ms,input_lineitem_rows,matched_lineitem_rows,cpu_input_rows,gpu_input_rows,h2d_bytes,d2h_bytes,mapped_remote_read_bytes,throughput_rows_per_second,selected_cpu_ratio
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,3,ok,542abf4003633c7c,4.737246,4.690807,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1266815149.5615807,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,4,ok,542abf4003633c7c,4.762043,4.71246,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1260218565.8550332,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,5,ok,542abf4003633c7c,4.768082,4.722224,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1258622439.7986445,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,6,ok,542abf4003633c7c,4.603198,4.550619,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1303705597.7170653,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,7,ok,542abf4003633c7c,4.746289,4.700832,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1264401514.5306153,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,8,ok,542abf4003633c7c,4.798808,4.751948,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1250563681.647609,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,9,ok,542abf4003633c7c,4.922611,4.876793,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1219112174.4131317,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,10,ok,542abf4003633c7c,4.829974,4.781973,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1242494266.0146825,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,11,ok,542abf4003633c7c,4.97584,4.928329,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1206070733.7856524,1.0
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,12,ok,542abf4003633c7c,4.976521,4.930483,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1205905691.9482505,1.0
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,3,ok,542abf4003633c7c,3.205257,3.151307,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1872303843.342359,1.0
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,4,ok,542abf4003633c7c,4.024932,3.97054,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1491010282.906643,1.0
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,5,ok,542abf4003633c7c,3.229633,3.174892,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1858172430.1182208,1.0
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,6,ok,542abf4003633c7c,3.218166,3.161813,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1864793487.9679916,1.0
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,7,ok,542abf4003633c7c,3.190035,3.135544,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1881237980.1475532,1.0
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,8,ok,542abf4003633c7c,3.111258,3.057759,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1928870894.0242178,1.0
