scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,dataset_load_ms,session_setup_ms,plan_build_ms,host_staging_ms,allocation_ms,initial_h2d_ms,tune_ms,resident_host_bytes,resident_gpu_bytes,resident_pinned_bytes,selected_cpu_ratio,predicted_cpu_ratio,realized_cpu_ratio
1,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,296.091287,61.887038,61.770786,0.0,0.0,0.0,0.0,264088793,0,0,1.0,,
1,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,297.171057,61.268943,61.135495,0.0,0.0,0.0,0.0,264088793,0,0,1.0,,
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,297.591434,63.772432,63.643961,0.0,0.0,0.0,0.0,264088793,0,0,1.0,,
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,297.054498,0.015883,0.0,0.0,0.0,0.0,0.0,259329279,0,0,1.0,,
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,286.452343,0.01375,0.0,0.0,0.0,0.0,0.0,259329279,0,0,1.0,,
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,284.259542,0.015984,0.0,0.0,0.0,0.0,0.0,259329279,0,0,1.0,,
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,278.348601,298.245945,61.566795,122.887436,106.482357,7.119872093200684,0.0,144064697,144064520,0,0.0,,
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,287.616903,327.055302,58.417751,157.480639,104.927274,6.024191856384277,0.0,144064697,144064520,0,0.0,,
1,gpu-mapped,gpu-mapped,1,fixed,0.0,1.0,279.826957,378.731561,59.480436,127.684565,191.426453,0.0,0.0,144064697,212,144064308,0.0,,
1,cudf,cudf,1,fixed,0.0,1.0,875.3235880285501,263.8863269239664,,,,,0.0,0,145304859,0,0.0,,
1,hybrid-fixed-r0125-t08,hybrid-arrow,8,fixed,0.125,0.875,276.797356,332.826924,103.38103,106.98898500000001,113.696261,5.895423889160156,0.0,184559122,129061480,0,0.125,,
1,hybrid-fixed-r0250-t08,hybrid-arrow,8,fixed,0.25,0.75,274.752981,306.839712,105.03055599999999,87.75029799999999,105.940633,5.257472038269043,0.0,201013362,114058440,0,0.25,,
1,hybrid-fixed-r0375-t08,hybrid-arrow,8,fixed,0.375,0.625,287.086414,292.094884,106.482898,75.68095,102.412258,4.6129279136657715,0.0,217467602,99055400,0,0.375,,
1,hybrid-fixed-r0500-t08,hybrid-arrow,8,fixed,0.5,0.5,276.661844,272.780495,103.21530000000001,57.82186500000001,104.947024,3.940351963043213,0.0,233921842,84052360,0,0.5,,
1,hybrid-fixed-r0625-t08,hybrid-arrow,8,fixed,0.625,0.375,274.708271,254.162879,103.164845,45.227228000000004,99.523401,3.270848035812378,0.0,250376102,69049340,0,0.625,,
1,hybrid-fixed-r0750-t08,hybrid-arrow,8,fixed,0.75,0.25,275.868654,261.344919,115.642729,29.58810100000001,109.829519,2.5694079399108887,0.0,266830342,54046300,0,0.75,,
1,hybrid-fixed-r0875-t08,hybrid-arrow,8,fixed,0.875,0.125,278.056087,224.953071,104.368058,14.912651000000004,100.923776,1.9865599870681763,0.0,283284582,39043260,0,0.875,,
1,hybrid-auto-t08,hybrid-arrow,8,auto,0.26209092658736605,0.7379090734126339,275.371183,566.468814,89.77222900000001,72.30633499999999,0.851051,4.986752033233643,398.383262,199562162,112607240,0,0.26209092658736605,0.24319614604075737,0.26209092658736605
